id,title,company,experience,salary,location,description,url,role,skills,posted_date,posted_date_cleaned,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
118,Data Scientist,Infosys,9 - 11 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-9-to-11-years-270625922955,Data Scientist,N/A,4 days ago,2025-06-27,,,,10.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
119,Data Scientist,Apexon,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",6 months duration,https://www.naukri.com/job-listings-data-scientist-apexon-bengaluru-0-to-7-years-240625503474,Data Scientist,"Engineering services, SAS, Bfsi, Clinical trials, Wellness, Healthcare, Life sciences, Asset management, Analytics, Python",6 days ago,2025-06-25,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Engineering Services, Sas, Bfsi, Clinical Trials, Wellness, Healthcare, Life Sciences, Asset Management, Analytics, Python"
120,Data Scientist with AWS,Tech Mahindra,4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-with-aws-tech-mahindra-ltd-pune-4-to-9-years-300625501898,Data Scientist,"Computer science, Data management, data science, Cloud Services, Machine learning, Infrastructure, Programming, model development, AWS, Python",1 day ago,2025-06-30,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Management, Data Science, Cloud Services, Machine Learning, Infrastructure, Programming, Model Development, Aws, Python"
121,Data Scientist,Uplers,0 - 3 years,30-45 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Chennai, Bengaluru",Senior Machine Learning Engineer/ Data Scientist (Fresh Phd Graduates),https://www.naukri.com/job-listings-data-scientist-uplers-hyderabad-chennai-bengaluru-0-to-3-years-230625021562,Data Scientist,N/A,1 week ago,2025-06-24,3000000.0,4500000.0,3750000.0,1.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
122,Data Scientist,Tesco,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru( Whitefield )",Job Summary:,https://www.naukri.com/job-listings-data-scientist-tesco-bengaluru-1-to-3-years-120625017631,Data Scientist,N/A,Just now,,,,,2.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
123,Data Scientist,Capgemini,4 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.Applies scientific methods to analyse and solve software engineering problems.He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5. The software engineer collaborates and acts as team player with other software engineers and stakeholders.",https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-4-to-7-years-270625931719,Data Scientist,N/A,3 days ago,2025-06-28,,,,5.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
124,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-kolkata-3-to-7-years-270625918827,Data Scientist,N/A,4 days ago,2025-06-27,,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
125,Data Scientist,Harman International,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-harman-international-bengaluru-5-to-10-years-250625501825,Data Scientist,"Computer science, Usage, GCP, Neural networks, Artificial Intelligence, Machine learning, Debugging, Automotive, Monitoring, Python",5 days ago,2025-06-26,,,,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Usage, Gcp, Neural Networks, Artificial Intelligence, Machine Learning, Debugging, Automotive, Monitoring, Python"
126,Data Scientist,Tesco Plc,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-tesco-polska-bengaluru-4-to-8-years-270625506051,Data Scientist,"Supply chain, Computer science, Computer vision, Prototype, Analytical, Machine learning, Predictive modeling, Data mining, Python, Business operations",3 days ago,2025-06-28,,,,6.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Supply Chain, Computer Science, Computer Vision, Prototype, Analytical, Machine Learning, Predictive Modeling, Data Mining, Python, Business Operations"
127,Data Scientist (Gen AI),Zensar,5 - 10 years,20-30 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune, Bengaluru",AI/ML & GenAI Development,https://www.naukri.com/job-listings-data-scientist-gen-ai-zensar-pune-bengaluru-5-to-10-years-040625028001,Data Scientist,N/A,5 days ago,2025-06-26,2000000.0,3000000.0,2500000.0,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
128,Data Scientist,Kotak Life Insurance,3 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-kotak-mahindra-life-insurance-company-limited-bengaluru-3-to-5-years-240625924334,Data Scientist,N/A,1 week ago,2025-06-24,,,,4.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
129,"Data Scientist Product, Google One and Photos",Google,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-product-google-one-and-photos-google-india-private-limited-bengaluru-2-to-6-years-270625504609,Data Scientist,"python, r, data science, mathematics, computer vision, sql, statistics",3 days ago,2025-06-28,,,,4.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Python, R, Data Science, Mathematics, Computer Vision, Sql, Statistics"
130,Data Scientist,Ericsson,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata",read more,https://www.naukri.com/job-listings-data-scientist-ericsson-india-global-services-pvt-ltd-kolkata-4-to-8-years-240625502936,Data Scientist,"Computer science, Data analysis, Data validation, Coding, Artificial Intelligence, Machine learning, Data quality, Forecasting, SQL, Python",6 days ago,2025-06-25,,,,6.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Analysis, Data Validation, Coding, Artificial Intelligence, Machine Learning, Data Quality, Forecasting, Sql, Python"
131,Data Scientist-Artificial Intelligence,IBM,5 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-5-to-7-years-270625919205,Data Scientist,N/A,4 days ago,2025-06-27,,,,6.0,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
132,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-270625919257,Data Scientist,N/A,4 days ago,2025-06-27,,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
133,Data Scientists with AI and Generative Model experience,Genpact,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata, Hyderabad, Bengaluru",,https://www.naukri.com/job-listings-data-scientists-with-ai-and-generative-model-experience-genpact-kolkata-hyderabad-bengaluru-3-to-6-years-270525041000,Data Scientist,N/A,3 days ago,2025-06-28,,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
134,Data Scientist 3-Digital Banking Kotak -Regional Sales,Kotak Life Insurance,7 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-3-digital-banking-kotak-regional-sales-kotak-mahindra-life-insurance-company-limited-bengaluru-7-to-10-years-240625926909,Data Scientist,N/A,6 days ago,2025-06-25,,,,8.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
135,Inviting applications For the role of Full Stack Data Scientist,Genpact,10 - 15 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata, Hyderabad, Bengaluru",,https://www.naukri.com/job-listings-inviting-applications-for-the-role-of-full-stack-data-scientist-genpact-kolkata-hyderabad-bengaluru-10-to-15-years-270525040955,Data Scientist,N/A,3 days ago,2025-06-28,,,,12.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
136,Data Scientist,Posted by RIANA ADVISORY SERVICES PRIVATE LIMITED,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",Key Responsibilities,https://www.naukri.com/job-listings-data-scientist-riana-advisory-services-private-limited-hyderabad-2-to-6-years-010725917258,Data Scientist,N/A,Few hours ago,,,,,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
137,Data Scientist - Python/Machine Learning,Blueberry Unicorn Services,6 - 11 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-blueberry-unicorn-services-pvt-ltd-hyderabad-bengaluru-6-to-11-years-240625931335,Data Scientist,N/A,6 days ago,2025-06-25,,,,8.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
138,Data Scientist,Posted by Capital Placement Services,2 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Gurugram, Bengaluru","ResponsibilitiesData mining and analysis using state-of-the-art methodsProcessing, cleansing, and verifying the integrity of data used for analysesBuilding and optimizing data models using machine learning techniquesSkills and QualificationsMust have:At least 2 years of experience working on data science projects delivered to external clients.Proficiency with programming languages: Python, PySpark, and SQL.Proficiency with common data science tools: Scikit-learn and at least one amongTensorFlow, Keras, PyTorch, or equivalentExperience with forecasting techniques using Time series methods and causal forecastingmethodsExperience with applying supervised and unsupervised learning techniques on unstructuredand semi-structured dataExperience with predictive modeling, deploying, and monitoring ML solutions in an iterativeor Agile/DevOps environment using lifecycle management methods and toolsDegree in Statistics/Quantitative Analyses, Computer Science, Mathematics, OperationsResearch, or other related technical fields with equivalent practical experienceExcellent English verbal and written communication skillsNice to have:Experience with Natural Language Processing (NLP) techniques.Familiarity with Microsoft Azure services and toolsExperience with the agile methodology for data science projects.",https://www.naukri.com/job-listings-data-scientist-capital-placement-services-hyderabad-gurugram-bengaluru-2-to-7-years-260625935043,Data Scientist,N/A,4 days ago,2025-06-27,,,,4.5,"Bengaluru, Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
139,Data Scientist,S&P Global Market Intelligence,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-sp-capital-iq-india-pvt-ltd-bengaluru-3-to-6-years-270625925612,Data Scientist,N/A,4 days ago,2025-06-27,,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
140,Data Scientist - Machine Learning Lead / SSE (Immediate Joiners),Chadwick Professional Services,4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai (All Areas)",Data Scientist - Machine Learning Lead,https://www.naukri.com/job-listings-data-scientist-machine-learning-lead-sse-immediate-joiners-chadwick-professional-services-mumbai-all-areas-4-to-9-years-050625029231,Data Scientist,N/A,1 day ago,2025-06-30,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
141,Data Scientist- ML,Optum,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida, Gurugram",,https://www.naukri.com/job-listings-data-scientist-ml-optum-noida-gurugram-3-to-6-years-240625025392,Data Scientist,N/A,1 week ago,2025-06-24,,,,4.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Noida, Pune",
142,Data Scientist,Michelin,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",read more,https://www.naukri.com/job-listings-data-scientist-michelin-pune-5-to-10-years-260625503695,Data Scientist,"Data analysis, Machine learning, Deployment, Testing",4 days ago,2025-06-27,,,,7.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Data Analysis, Machine Learning, Deployment, Testing"
143,Data Scientist,Capgemini,4 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Tiruchirapalli",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-tiruchirapalli-4-to-7-years-240625928240,Data Scientist,N/A,6 days ago,2025-06-25,,,,5.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
144,"Immediate Hiring || Data Scientist || Noida, Chennai",HCLTech,4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida, Chennai",About the Role,https://www.naukri.com/job-listings-immediate-hiring-data-scientist-noida-chennai-hcltech-noida-chennai-4-to-9-years-160625006236,Data Scientist,N/A,4 days ago,2025-06-27,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
145,Data Scientist,Michelin,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",- - - - - - - - - - - -,https://www.naukri.com/job-listings-data-scientist-michelin-manufacturing-pune-3-to-7-years-260625500629,Data Scientist,"Data analysis, Machine learning, Deployment, Testing",5 days ago,2025-06-26,,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Data Analysis, Machine Learning, Deployment, Testing"
146,Data Scientist,Everestek Technosoft Solutions,4 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Indore, Surat, Mumbai (All Areas)",Job Title: Data Scientist,https://www.naukri.com/job-listings-data-scientist-everestek-technosoft-solutions-indore-surat-mumbai-all-areas-4-to-5-years-300625010216,Data Scientist,N/A,1 day ago,2025-06-30,,,,4.5,"Chennai, Delhi, Hyderabad, Indore, Mumbai, Pune, Surat",
147,Data Scientist,Genpact,1 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata",Urgent Hiring in Genpact for the role of Data Scientist,https://www.naukri.com/job-listings-data-scientist-genpact-kolkata-1-to-6-years-270625000178,Data Scientist,N/A,4 days ago,2025-06-27,,,,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
148,Direct Walkin/Risk Data Scientist @Hyderabad,MKS Vision,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad, Coimbatore",,https://www.naukri.com/job-listings-direct-walkin-risk-data-scientist-hyderabad-mks-vision-hyderabad-coimbatore-5-to-10-years-010725016352,Data Scientist,N/A,Few hours ago,,,,,7.5,"Chennai, Coimbatore, Delhi, Hyderabad, Mumbai, Pune",
149,"Data Scientist - natural Language Processing,AI,Nl",Posted by Capital Placement Services,2 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram","Build cutting edge models using NLP, ML and AI Techniques for a variety of problems in a variety of domains.Work with engineering team to deploy models in production & validate the models.Expert level knowledge in Natural Language Processing, Information Extraction, Scrapping and Text Mining Algorithms, Tech Stacks.Strong familiarity with deep learning methods for text analytics.Expert level knowledge in Machine Learning algorithms (XGBoost, Linear and Logistic Regression, SVM, Random Forest, Bayesian Methods, Unsupervised Learning, Reinforcement Learning) is a must.Familiarity and experience of working on time series analysis on real world datasets.Familiarity with flask, fastapi, hug.Must be an expert python programmer.Demonstrated expertise via high quality publications and/or competitions/challenges.Ability to easily work with domain experts and passion to make a difference.Minimum B.E/B.Tech in computer science/ Electrical Engineering/ EXTC with a strong base in mathematics and statistics.Strong communication skills and team player.Ability to thrive in a startup environment.Problem solving attitude is a must.Desired Candidate ProfileData Scientist to join team and completely take care of TextAnalytics on Qualitative Customer Feedback and Call Center complaints conversations via Email or Chat.",https://www.naukri.com/job-listings-data-scientist-natural-language-processing-ai-nl-capital-placement-services-gurugram-2-to-7-years-270625934019,Data Scientist,N/A,3 days ago,2025-06-28,,,,4.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
150,Data Scientist,Virtana Corp,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune, Chennai",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-virtana-corp-pune-chennai-3-to-6-years-300625501626,Data Scientist,"Usage, Prototype, Time series analysis, Artificial Intelligence, IT operations management, Machine learning, Cloud, Cash flow, Pattern recognition, Python",1 day ago,2025-06-30,,,,4.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Usage, Prototype, Time Series Analysis, Artificial Intelligence, It Operations Management, Machine Learning, Cloud, Cash Flow, Pattern Recognition, Python"
151,Data Scientist,Axium Global,1 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai (All Areas)","We are looking for a motivated and analytical Data Scientist with 2-4 years of experience to join our growing data team. The ideal candidate should be comfortable working with large datasets, building predictive models and generating actionable insights. Experience or familiarity with the AEC industry is a strong plus, as the role involves working on data generated from engineering, construction and design workflows.",https://www.naukri.com/job-listings-data-scientist-axium-global-mumbai-all-areas-1-to-4-years-010725019679,Data Scientist,N/A,Few hours ago,,,,,2.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
152,Data Scientist,Capgemini,15 - 22 years,25-37.5 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",Role & responsibilities :,https://www.naukri.com/job-listings-data-scientist-capgemini-chennai-15-to-22-years-260625030582,Data Scientist,N/A,4 days ago,2025-06-27,2500000.0,3750000.0,3125000.0,18.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
153,Data Scientist,Go Digital Technology Consulting,3 - 5 years,4.75-9.75 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune, Mumbai (All Areas)",Job Title: Data Scientist  Electric Load Forecasting,https://www.naukri.com/job-listings-data-scientist-go-digital-technology-consulting-pune-mumbai-all-areas-3-to-5-years-300625020753,Data Scientist,N/A,1 day ago,2025-06-30,475000.0,975000.0,725000.0,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
154,Data Scientist,Apptad,2 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-apptad-technologies-pvt-ltd-noida-2-to-4-years-300625913562,Data Scientist,N/A,1 day ago,2025-06-30,,,,3.0,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
155,Data Scientist,"Sourced Group, an Amdocs Company",4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-sourced-group-an-amdocs-company-pune-4-to-9-years-240625503379,Data Scientist,"Computer science, Data analysis, Bss, Networking, Billing, Data collection, Customer handling, Customer support, Data mining, Amdocs",6 days ago,2025-06-25,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Analysis, Bss, Networking, Billing, Data Collection, Customer Handling, Customer Support, Data Mining, Amdocs"
156,Data Scientist,"Sourced Group, an Amdocs Company",4 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-sourced-group-an-amdocs-company-pune-4-to-9-years-240625503380,Data Scientist,"deep learning, Data analysis, Prototype, data science, Machine learning, Customer handling, Customer support, Amdocs, Bioinformatics, Python",6 days ago,2025-06-25,,,,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Deep Learning, Data Analysis, Prototype, Data Science, Machine Learning, Customer Handling, Customer Support, Amdocs, Bioinformatics, Python"
